gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
26,Tiruppur,Thirumuruganpoondi,102,102,0,2,0,1,1,0,1,0
26,Tiruppur,Thulukkamuthur,14,14,0,1,0,0,1,0,0,1
26,Tiruppur,Tiruppur-DHQ,1,1,0,3,0,1,2,0,1,0
26,Tiruppur,Vellakoil,21,21,0,2,0,1,1,0,1,1
28,Tiruvallur,Ammaiyarkuppam,113,113,0,0,0,0,0,0,0,0
28,Tiruvallur,Athimanjeeripet,288,288,0,2,0,1,1,0,1,1
28,Tiruvallur,Beerakuppam,20,20,0,2,0,1,1,0,1,0
28,Tiruvallur,Budur,23,23,0,2,0,1,1,0,1,1
28,Tiruvallur,Eguvarpalayam,35,35,0,2,0,1,1,0,1,1
28,Tiruvallur,Enampakkam,219,183,36,1,0,0,1,0,0,1
28,Tiruvallur,Government Medical College and Hospital Thiruvallur,1,0,1,1,0,0,1,0,0,1
28,Tiruvallur,Guruvoyal,799,772,27,1,0,0,1,0,0,1
28,Tiruvallur,Katchur,8,8,0,2,0,1,1,0,0,1
28,Tiruvallur,Kollumedu,15,15,0,2,0,1,1,0,1,1
28,Tiruvallur,Lachivakkam,51,50,1,1,0,0,1,0,0,1
28,Tiruvallur,Minjur,126,126,0,2,0,1,1,0,1,1
28,Tiruvallur,Naravarikuppam,470,470,0,2,0,1,1,0,1,1
28,Tiruvallur,Nemam,15,14,1,1,0,0,1,0,0,0
28,Tiruvallur,Perambakkam,8,5,3,2,0,1,1,0,1,1
28,Tiruvallur,Periapalayam,69,47,22,2,0,1,1,0,1,1
28,Tiruvallur,Poonimangadu,79,79,0,0,0,0,0,0,0,0
28,Tiruvallur,Sorancherry,19,18,1,1,0,1,0,0,1,0
28,Tiruvallur,Thirumalazhisai,67,67,0,1,0,0,1,0,0,1
28,Tiruvallur,Thirunindravur,9,9,0,1,0,0,1,0,0,1
28,Tiruvallur,Velliyur,2,2,0,1,0,0,1,0,0,1
28,Tiruvallur,Vengal,296,296,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Akkur,29,29,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Cheyyar-DHQ,2434,2335,99,2,0,1,1,0,1,0
9,Tiruvannamalai,Devikapuram,59,59,0,1,0,0,1,0,0,0
9,Tiruvannamalai,Kadaladi,4,4,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Kalambur,547,547,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Kamakoor,350,350,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Kannamangalam,522,522,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Karapattu,1,1,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Kattampoondi,2,2,0,2,0,1,1,0,0,1
9,Tiruvannamalai,Kilpennathur,729,729,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Kolappalur,6,6,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Kommanandal,137,137,0,2,0,1,1,0,0,1
9,Tiruvannamalai,Malayampattu,193,193,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Mangalam,1044,1044,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Melpallipattu,59,59,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Nammiyampattu,95,95,0,0,0,0,0,0,0,0
9,Tiruvannamalai,Navalpakkam,1087,1087,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Onnupuram,452,452,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Periyakulam,450,450,0,1,0,0,1,0,0,1
9,Tiruvannamalai,Perungattur,43,43,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Pudupalayam,24,24,0,1,0,0,1,0,0,0
9,Tiruvannamalai,S.V.Nagaram,1435,1435,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Thatchur,25,25,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Thellar,708,708,0,2,0,1,1,0,1,1
9,Tiruvannamalai,Vanapuram,129,129,0,0,0,0,0,0,0,0
9,Tiruvannamalai,Vazhur,164,164,0,2,0,1,1,0,1,1
34,Tirupattur,Alangayam,1908,1907,1,2,0,1,1,0,1,1
34,Tirupattur,Andiappanur,117,117,0,2,0,1,1,0,1,1
12,Vellore,Arangaldurgam,57,57,0,1,0,0,1,0,0,1
12,Vellore,Aravatla,4,4,0,1,0,0,1,0,0,1
33,Ranipet,Banavaram,3,3,0,2,0,1,1,0,1,1
12,Vellore,Kallapadi,75,75,0,2,0,1,1,0,1,1
12,Vellore,Kaniyambadi - Chc Gr.Ii,609,607,2,2,0,1,1,0,1,1
33,Ranipet,Karadikuppam,235,235,0,1,0,0,1,0,0,1
33,Ranipet,Kodaikkal,450,450,0,2,0,1,1,0,0,1
34,Tirupattur,Kunichi,236,236,0,2,0,1,1,0,1,1
33,Ranipet,Lalapet,77,77,0,2,0,1,1,0,1,1
34,Tirupattur,Madhanur,518,518,0,2,0,1,1,0,1,1
12,Vellore,Melpadi,540,540,0,1,0,0,1,0,0,1
34,Tirupattur,Melpatti,15,15,0,1,0,0,1,0,0,1
12,Vellore,Melsanankuppam,132,132,0,1,0,0,1,0,0,1
33,Ranipet,Mudhur,7,7,0,2,0,1,1,0,1,1
34,Tirupattur,Nariampattu,181,181,0,2,0,1,1,0,1,0
12,Vellore,Odugathur,3627,3627,0,2,0,1,1,0,1,0
34,Tirupattur,Pachur,539,539,0,2,0,1,1,0,1,1
12,Vellore,Pallikonda,2402,2402,0,1,0,0,1,0,0,1
12,Vellore,Peenjamanthai,1081,1081,0,1,0,0,1,0,0,0
12,Vellore,Poigai,2485,2485,0,1,0,0,1,0,0,1
12,Vellore,Ponnai,525,492,33,2,0,1,1,0,1,1
33,Ranipet,Pudupadi,569,569,0,2,0,1,1,0,1,1
34,Tirupattur,Pudupet,3,3,0,2,0,1,1,0,1,1
33,Ranipet,Punnai,72,66,6,2,0,1,1,0,1,0
12,Vellore,T.T.Mottur,3,3,0,1,0,0,1,0,0,1
12,Vellore,Thiruvalam,126,126,0,2,0,1,1,0,1,1
33,Ranipet,Timiri,8570,8570,0,2,0,1,1,0,1,1
12,Vellore,Udhayenthiram,65,65,0,1,0,0,1,0,0,1
12,Vellore,Ussoor,883,883,0,2,0,1,1,0,1,1
12,Vellore,Vaduganthangal,391,382,9,2,0,1,1,0,1,1
12,Vellore,Venkatasamuthiram,176,176,0,1,0,0,1,0,0,1
12,Vellore,Vinnampalli,26,26,0,1,0,0,1,0,0,1
33,Ranipet,Walajapet-DHQ,247,247,0,2,0,1,1,0,1,0
8,Villupuram,Alathur,225,225,0,1,0,0,1,0,0,1
35,Kallakurichi,Ariyur,89,89,0,2,0,1,1,0,0,1
35,Kallakurichi,Eduthavainatham,60,60,0,1,0,0,1,0,0,1
35,Kallakurichi,Elavanasurkottai,11,11,0,2,0,1,1,0,1,1
8,Villupuram,Iruvelpattu,62,62,0,2,0,1,1,0,1,1
35,Kallakurichi,Kachirapalayam,15,15,0,2,0,1,1,0,1,1
8,Villupuram,Kandamanadi,44,44,0,2,0,1,1,0,0,1
8,Villupuram,Kandamangalam,5,5,0,1,0,0,1,0,0,1
35,Kallakurichi,Kariyalur,220,220,0,2,0,1,1,0,0,0
8,Villupuram,Kedar,44,44,0,2,0,1,1,0,0,1
8,Villupuram,Kiliyanur,24,24,0,2,0,1,1,0,1,1
8,Villupuram,Kondur,4,4,0,1,0,0,1,0,0,1
8,Villupuram,Mailam,11,11,0,2,0,1,1,0,1,1
35,Kallakurichi,Malaikottalam,76,76,0,1,0,0,1,0,0,1
8,Villupuram,Melsithamur,369,368,1,2,0,1,1,0,1,1
35,Kallakurichi,Melur,21,21,0,2,0,1,1,0,1,1
